The next event ID to use is : ,,,,,F,088,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,All entries need a short headline,"Descriptions need to be accessible to a general audience, spell out acronyms and be 70 words or less",,,,Image Information,,,,,,Oral History Excerpts Data,,,,,Additional Information,Linked Events Information,
AW,F036,FALSE,035,036,1960,BVD virus shown to resemble swine fever ,"Swine fever is a contagious and frequently fatal disease of pigs. In 1960, researchers at the UK's Central Veterinary Laboratory demonstrated its resemblance to the BVD virus. US scientists suggested vaccinating pigs with BVD to protect them from swine fever, but this was never adopted. Meanwhile, an Australian swine fever eradication programme was disrupted by the discovery that pigs blood testing positive had actually been exposed to BVD. ",68,Animal Health and Veterinary Medicine,1,R036,N/A,Pig in Barn,Jez Timms,Photo by Jez Timms on Unsplash,https://unsplash.com/photos/sGwRS1ss3uA,,,,,,,1946 First reported outbreak of BVD; 1947 BVD research begins; 1956 BVD misdiagnosed as rinderpest; 1960 Breakthrough in laboratory diagnosis shows BVD and MD caused by same virus; 1965 BVD vaccines adopted for use in US feedlots; 1967 Discovery that BVD could infect calves in the womb; 1972 Close relationship demonstrated between BVD and Border Disease in sheep; 1977 Breakthrough in sheep sets the scene for new understandings of BVD; 1980 BVD identified as ‘possibly the most important viral pathogen of the bovine fetus in Britain’; 1986 New ideas about BVD control; 1995 Safe BVD vaccines licenced in the UK,F007; F012; F030; F035; F041; F043; F050; F054; F058; F063; F069; F083
AW,F037,FALSE,036,037,1960,UK vets start to discuss lameness in cattle,"Although practising vets spent much time treating lameness, veterinary researchers and teachers mostly ignored it. Its profile was raised in 1960, when three papers were presented on its causes and management to the annual British Veterinary Association congress. Speakers noted that incidence was increasing, perhaps due to changing methods of production. Despite the availability of antibiotics, surgery was still the preferred response to 'foul foot'. Regular footbaths were important for prevention. ",71,Animal Health and Veterinary Medicine,1,R037,P FW PH1/OS/68/683,Foot bath for cattle,Charles Topham,"The Museum of English Rural Life, University of Reading.",http://www.reading.ac.uk/adlib/merl_archives/110027075,,,,,,,,
KS,F038,FALSE,037,038,1960,Most cows being milked by machines,"By 1960 the majority of cattle were milked by machine. The milk went into a bucket then into a churn (in mobile field units), or through a pipeline (in the cowshed), or cows were milked by vacuum pump standing in parlours. Some cows were still hand milked, but this shift was driven by technological improvements that cows responded to well (compared to old machines developed before the Second World War), and the increasing costs and reduced availability of farm labour. ",80,Production Practices,3,R038,P TAR PH3/2/2/1/10,"Milking time in a Dorset parlour, 1960s",John Tarlton,"The Museum of English Rural Life, University of Reading.",http://www.reading.ac.uk/adlib/merl_archives/110354915,,,,,,,,
KS,F039,FALSE,038,039,1960,Expansion in dairying,"Average dairy herd size rises, in England and Wales, to 21 and average yield to 735 gallons per year. The Milk Marketing Board sets up Dairy Crest to manage the processing of surplus milk into butter and cheese. When the Milk Marketing Board is disbanded in 1994, following the Agriculture Act (1993) Dairy Crest continues as a commercial concern in its own right. ",63,Production Practices,2,R039,P 2FW PH2/1123/1,Herdsman Graham Sumner at the sharp end of milk production,,"The Museum of English Rural Life, University of Reading.",http://www.reading.ac.uk/adlib/merl_archives/110366948,,,,,,,Agriculture Act 1993,F068
KS,F040,FALSE,039,040,1965,Report of the Technical Committee to Enquire into the Welfare of Animals kept under Intensive Livestock Husbandry Systems' known as The Brambell Report,"Prompted by the public response to Ruth Harrison's book Animal Machines (1964), 'The ""Brambell"" Report' (chaired by Roger Brambell) was published in December 1965. This is credited as the origin of the 'Five Freedoms' as it stated that farm animals should have freedom “to stand up, lie down, turn around, groom themselves and stretch their limbs”. This became influential in UK and subsequent European legislation, such as that concerning Battery farming.",71,Policy Events,2,R040,P FW PH2/S3/1,The interior of a farm shed,B. Tyrer,"The Museum of English Rural Life, University of Reading.",http://www.reading.ac.uk/adlib/merl_archives/110327627,,,,,,,,
AW,F041,FALSE,040,041,1965,BVD vaccines adopted for use in US feedlots,"During the 1960s, when intensive calf production took off in the UK and North America, BVD came to be viewed as an important contributor to high mortality rates associated with enteric and respiratory disease. In North America, live vaccines were developed as a preventive. Subsequent reports of ‘post-vaccinal Mucosal Disease’ meant their use was controversial. They were not licensed for sale in the UK.",64,Animal Health and Veterinary Medicine,1,R041,N/A,Feedlot in the Texas Panhandle,N/A,H2O / CC BY-SA (http://creativecommons.org/licenses/by-sa/3.0/),https://commons.wikimedia.org/wiki/File:Feedlot-1.jpg,,,,,,,1946 First reported outbreak of BVD; 1947 BVD research begins; 1956 BVD misdiagnosed as rinderpest; 1960 Breakthrough in laboratory diagnosis shows BVD and MD caused by same virus; 1960 BVD virus shown to resemble swine fever; 1967 Discovery that BVD could infect calves in the womb; 1972 Close relationship demonstrated between BVD and Border Disease in sheep; 1977 Breakthrough in sheep sets the scene for new understandings of BVD; 1980 BVD identified as ‘possibly the most important viral pathogen of the bovine fetus in Britain’; 1986 New ideas about BVD control; 1995 Safe BVD vaccines licenced in the UK,F007; F012; F030; F035; F036; F043; F050; F054; F058; F063; F069; F083
JB,F042,FALSE,041,042,1966,Report of the Advisory Committee on Agricultural Education published by Department of Education and Science (Pilkington Committee),"From 1959, the Department of Education and Science had been responsible for managing agricultural education. But, during the 1960s agriculture's growing dependence on science and technology called for more highly-skilled workers. It became clear that more specialist education and training had to be set up to meet this need. A suite of certificates, training programmes and 'sandwich' courses (combining practical and theoretical education) were therefore established. From 1967 the Agricultural Training Board was created to provide local training for the industry, complimenting the work of existing Agricultural Colleges and Farm Institutes. Agricultural economists and 'manpower' service specialists mapped skills gaps to aid planning, but the new policies - especially the levy that paid for the Training Board - were resisted by farmers who often didn't see the value of formal training.",131,Policy Events,3,R042,P 2FW PH2/156/1,Mr D.J. Fuller demonstrates his method of tomato training,,"The Museum of English Rural Life, University of Reading.",http://www.reading.ac.uk/adlib/merl_archives/110360736,,,,,,,,
AW,F043,FALSE,042,043,1967,Discovery that BVD could infect calves in the womb,"American cancer researchers were surprised to discover the BVD virus and its antibodies in foetal calf serum, which was used routinely in laboratories to maintain cell cultures. This discovery complicated the in-vitro diagnosis and investigation of BVD. It also suggested that calves could be infected via their mothers, during uterine life. Shortly afterwards, scientists isolated the BVD virus from aborted calves, and conducted research that revealed its wide-ranging congenital effects.",70,Animal Health and Veterinary Medicine,1,R043,N/A,Scientist with a Petri dish,Drew Hays,Photo by Drew Hays on Unsplash,https://unsplash.com/photos/tGYrlchfObE,,,,,,"Kniazeff, A. J., V. Rimer, and L. Gaeta, ‘γ -Globulin in Foetal Bovine Sera: Significance in Virology’, Nature, 214 (1967), 805 ",1946 First reported outbreak of BVD; 1947 BVD research begins; 1956 BVD misdiagnosed as rinderpest; 1960 Breakthrough in laboratory diagnosis shows BVD and MD caused by same virus; 1960 BVD virus shown to resemble swine fever; 1965 BVD vaccines adopted for use in US feedlots; 1972 Close relationship demonstrated between BVD and Border Disease in sheep; 1977 Breakthrough in sheep sets the scene for new understandings of BVD; 1980 BVD identified as ‘possibly the most important viral pathogen of the bovine fetus in Britain’; 1986 New ideas about BVD control; 1995 Safe BVD vaccines licenced in the UK,F007; F012; F030; F035; F036; F041; F050; F054; F058; F063; F069; F083
JB,F044,FALSE,043,044,1967,Agriculture Act creates Meat and Livestock Commission,"In addition to tweaking existing subsidies and grants for agricultural improvement, the 1967 Agriculture Act created a Meat and Livestock Commission. Funded by a levy on slaughtered livestock, its role was to promote the efficiency and competitiveness of cattle, sheep and pig production, and to stimulate markets for British meat. It provided advice to farmers, developed health and improvement schemes, and sponsored research. In 2006 it was subsumed into the Agriculture and Horticulture Development Board (AHDB).",76,Policy Events,3,R044,P FS PH2/A3/1,Meat Market,,"The Museum of English Rural Life, University of Reading.",http://www.reading.ac.uk/adlib/merl_archives/110329019,,,,,,,,
AW,F045,FALSE,044,045,1967,Worst Foot and Mouth Disease outbreak of the 20th century,"Foot and Mouth Disease outbreaks occurred regularly in Britain during the first two thirds of the 20th century, with major epidemics breaking out in 1922-23, 1923-4, 1951-2 and 1967-8. 94% of the 2228 outbreaks occurring in 1967-8 affected the North West Midlands and North Wales. The culling of 450,000 cows, pigs and sheep caused a crisis of confidence in the government's time-honoured slaughter policy. However, contingency plans for vaccination were not put into effect.",74,Animal Health and Veterinary Medicine,3,R045,P 2FW PH2/973/3,A cow with Foot and Mouth disease,,"The Museum of English Rural Life, University of Reading.",http://www.reading.ac.uk/adlib/Details/archive/110366537,,,,,,,,
KS,F046,FALSE,045,046,1968,Agriculture (Miscellaneous Provisions) Act,"This Act picked up the recommendations from the Brambell Report for the welfare of livestock, and turned them into Statutory (i.e. legally-binding) Codes. The Act also drew on some older animal welfare Acts (from 1911 and 1912, and 1954). It referred to the design and layout of livestock housing, the protection of/cruelty to animals through failures to care for them, and acts of cruelty.

",62,Policy Events,2,R046,P 2FW PH2/1200/2,"Cotswold gilts being hardened off prior to sale, in open yard accommodation, 1970",Peter Adams,"The Museum of English Rural Life, University of Reading.",http://www.reading.ac.uk/adlib/merl_archives/110367209,,,,,,http://adlib.everysite.co.uk/adlib/defra/content.aspx?id=1523; https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/69368/pb7949-cattle-code-030407.pdf; https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/69365/pb5162-sheep-041028.pdf; http://www.legislation.gov.uk/ukpga/1968/34/enacted,1965 Brambell Report,F040
KS,F047,FALSE,046,047,1970,Price of land,"With increasing off-farm interest in acquisition by City investors, the freehold value of agricultural land was rising rapidly. For example, by 1974 it was £1500-2000 per acre where it had been c. £600 in 1960. This limited the numbers of new entrants to farming, including labourers and farmers' relatives who already struggled to find farms to rent, and prevented existing farmers from acquiring additional land.  ",65,Production Practices,3,R047,P TAR PH3/2/2/2/29,"Farmland with cattle grazing out on the stubble, Invershin, Sutherland",John Tarlton,"The Museum of English Rural Life, University of Reading.",http://www.reading.ac.uk/adlib/merl_archives/110354924,,,,,,,,
JB,F048,FALSE,047,048,1971,The National Agricultural Advisory Service was reconstituted as the Agricultural Development and Advisory Service (ADAS) (1 March),"Through restructuring its professional, technical and scientific services, the Ministry of Agriculture Fisheries and Food hoped to streamline its advisory work via an Agriculture Division, an Engineers Division (which offered advice on farm machinery), a Lands Division (which advised on land usage, drainage and improvement), and a Veterinary Division (incorporating the Veterinary Service) which advised on matters of animal health. Nevertheless, these state advisory services, under the umbrella of the new Agricultural Development and Advisory Service (ADAS, which continued as a state service until 1997), maintained the ethos of growth, and continued to push for increased production, specialisation, expansion through investment and efficiency gains.",104,Policy Events,3,R048,P 2FW PH2/404/1,"A Farm Machinery Demonstration, 1973",Charles Topham,"The Museum of English Rural Life, University of Reading.",http://www.reading.ac.uk/adlib/merl_archives/110361144,,,,,,,,
AW,F049,FALSE,048,049,1971,Rothschild Report on 'The Organisation and Management of Government R&D',"This report by Lord Victor Rothschild (a former chair of the Agricultural Research Council) was commissioned by newly elected Conservative Prime Minister Edward Heath. Believing that the ARC was mainly funding academic research that did not benefit the country, Rothschild recommended that MAFF take over its funds for applied scientific research, and use them to commission research on a 'customer/contractor' basis. This system was implemented in 1974, and significantly reduced the ARC's budget ",73,Policy Events,3,R049,RAL 000/2278/2/5,"Victor, 3rd Lord Rothschild (1910-1990)",,Reproduced with the permission of The Trustees of The Rothschild Archive.,N/A,,,,,,"Parker, M. The Rothschild report (1971) and the purpose of government-funded R&D—a personal account. Palgrave Commun 2, 16053 (2016). https://doi.org/10.1057/palcomms.2016.53",,
AW,F050,FALSE,049,050,1972,Close relationship demonstrated between BVD and Border Disease in sheep,"As with the earlier discovery of BVD antibodies in pigs, this discovery by Australian scientists suggested that BVD could transmit across species. In sheep it was shown to cause symptoms indistinguishable from Border Disease: abortions, and the birth of sickly lambs known as ‘hairy shakers.’ In 1974, British scientists showed that Border Disease could infect cows, resulting in reproductive failure. All three viruses were classified as ‘pestiviruses.’",67,Animal Health and Veterinary Medicine,1,R050,P FW PH2/L19/1,Cutting sections of diseased tissue for microscopic examination in a laboratory,,"The Museum of English Rural Life, University of Reading.",http://www.reading.ac.uk/adlib/Details/archive/110289870,,,,,,,1946 First reported outbreak of BVD; 1947 BVD research begins; 1956 BVD misdiagnosed as rinderpest; 1960 Breakthrough in laboratory diagnosis shows BVD and MD caused by same virus; 1960 BVD virus shown to resemble swine fever; 1965 BVD vaccines adopted for use in US feedlots; 1967 Discovery that BVD could infect calves in the womb; 1977 Breakthrough in sheep sets the scene for new understandings of BVD; 1980 BVD identified as ‘possibly the most important viral pathogen of the bovine fetus in Britain’; 1986 New ideas about BVD control; 1995 Safe BVD vaccines licenced in the UK,F007; F012; F030; F035; F036; F041; F043; F054; F058; F063; F069; F083
AW,F051,FALSE,050,051,1972,"Publication of Paul Greenough’s book, Lameness in Cattle","The author of this volume - which became the standard veterinary textbook on lameness - began to research the disease while in veterinary practice. Later, he moved to Western College of Veterinary Medicine, University of Saskatchewan. He described lameness as a complex and under-researched problem caused by a combination of heredity, nutrition, environment and infection.",55,Animal Health and Veterinary Medicine,1,R051,N/A,Lameness in Cattle Hardcover by Professor Paul R. Greenough FRCVS ,,,N/A,,,,,,"Greenough, Paul Reginald, Lameness in Cattle (Edinburgh: Oliver and Boyd, 1972)",,
JB,F052,FALSE,051,052,1973,Britain joined the European Economic Community (EEC) ,"In 1973, Britain joined the EEC and planning moved to the Common Agricultural Policy (CAP). This changed how support was provided to farmers (commodities were allocated a minimum price, which was maintained by buying up surpluses, and import tariffs were used to prevent cheap imports), but British agriculture continued as it had done from the mid-1960s under a Protectionist ethos and a continued plan of expansion, development and growth. ",69,Policy Events,3,R052,P 2FW PH2/152/7,"Celery grown in wide rows which ensures a top quality crop for the Copsey Brothers of Southery, near Downham Market, Norfolk. A working ADAS demonstration was held at their farm to familiarise local celery growers with new EEC regulations. 1973",Keith Huggett,"The Museum of English Rural Life, University of Reading.",http://www.reading.ac.uk/adlib/merl_archives/110360707,,,,,,,,F078; F087
KS,F053,FALSE,052,053,1975,Milking parlours and cows,"By 1975 there was increasing adoption of purpose-built herringbone milking parlours, with cows overwintered in new straw-bedded yards and cubicles. The average size of a herd was increasing but stood at about 30-40 cows, a monthly milk cheque was around £200 for 5 cows. There were about 45,000 ‘milkmen’ delivering doorstep milk to households.",54,Production Practices,2,R053,P 2FW PH2/1156/2,"A herringbone milking parlour, 1977",Peter Adams,"The Museum of English Rural Life, University of Reading.",http://www.reading.ac.uk/adlib/merl_archives/110367065,,,,,,,,
AW,F054,FALSE,053,054,1977,Breakthrough in sheep sets the scene for new understandings of BVD ,"Australian and Scottish scientists studying Border Disease in sheep (which could also affect cows, and was caused by a virus similar to BVD) showed that ewes infected early in pregnancy produced persistently infected (PI) lambs. These lambs could survive to reproductive maturity, but produced and spread virus throughout life, without developing antibodies. The following year, scientists in Iowa, USA, demonstrated that the same mode of transmission applied to BVD.   ",69,Animal Health and Veterinary Medicine,1,R054,P 2FW PH2/1139/5,"Black and white photograph of lambs on the farm of George Konig, February 1976",Keith Huggett,"The Museum of English Rural Life, University of Reading.",http://www.reading.ac.uk/adlib/Details/archive/110367006,,,,,,"Coria, M. F., and A. W. McClurkin, ‘Specific Immune Tolerance in an Apparently Healthy Bull Persistently Infected with Bovine Viral Diarrhoea Virus’, Journal of the American Veterinary Medical Association, 172.4 (1978), 449–51
 ",1946 First reported outbreak of BVD; 1947 BVD research begins; 1956 BVD misdiagnosed as rinderpest; 1960 Breakthrough in laboratory diagnosis shows BVD and MD caused by same virus; 1960 BVD virus shown to resemble swine fever; 1965 BVD vaccines adopted for use in US feedlots; 1967 Discovery that BVD could infect calves in the womb; 1972 Close relationship demonstrated between BVD and Border Disease in sheep; 1980 BVD identified as ‘possibly the most important viral pathogen of the bovine fetus in Britain’; 1986 New ideas about BVD control; 1995 Safe BVD vaccines licenced in the UK,F007; F012; F030; F035; F036; F041; F043; F050; F058; F063; F069 ; F083
JB,F055,FALSE,054,055,1978,Countryside Bill,"The Countryside Bill was designed, in part, to answer emerging public criticism of the increased use of e.g. organophosphates that were damaging bird of prey populations, habitat loss caused by the intensification of arable production using new chemical and mechanical methods, and water polluted by run off from arable and livestock units that had emerged under the policy ethos of expansion and growth. Following heated arguments about the future use of Exmoor's uplands, and a report that revealed mixed messages about its agricultural development and of areas like it, the intention was to provide a way for the Countryside Commission and the National Parks to conserve these older landscapes. It fell with the then Labour government, but returned in revised form under the Conservative government as the Wildlife and Countryside Act 1981. This Act compensated farmers who were not permitted to use conserved land.",144,Policy Events,1,R055,N/A,"Hope Valley, Peak District, UK",Magda V,Photo by Magda V on Unsplash,https://unsplash.com/photos/me5udcSd2H8,,,,,,,,
KS,F056,FALSE,055,056,1979,The end of milk churns,"From 31st July 1979 farmers had to store milk in refrigerated vats for collection by bulk tankers. A refrigerated tank cost about £1,000, but could be rented for £27 per month for three years from the Milk Marketing Board. The change had begun in 1973. In 1979, 97% of 37 million litres of milk was being collected daily in bulk from 86% of the 70,000 milk producers in England and Wales.",71,Production Practices,3,R056,P 2FW PH2/1218/2,Milk churns being loaded onto a lorry,Peter Adams,"The Museum of English Rural Life, University of Reading.",http://www.reading.ac.uk/adlib/merl_archives/110367272,,,,,,,,
KS,F057,FALSE,056,057,1979,Farm Animal Welfare Council established,"The Farm Animal Welfare Council was charged with reviewing the welfare of farm animals on agricultural land, at animal gatherings, in transit and at the place of slaughter; it could investigate, and advise the Government. The Council could communicate freely with the European Commission and the public, and publish its advice independently. It changed its name to the Farm Animal Welfare Committee in 2011.",64,Policy Events,2,R057,P 2FW PH2/757/2,Cattle in pens at an auction,,"The Museum of English Rural Life, University of Reading.", http://www.reading.ac.uk/adlib/merl_archives/110362788,,,,,,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/319292/Farm_Animal_Welfare_in_Great_Britain_-_Past__Present_and_Future.pdf,,
AW,F058,FALSE,057,058,1980,BVD identified as ‘possibly the most important viral pathogen of the bovine fetus in Britain’,"During the 1970s, field and experimental studies showed that the BVD virus could cross the placenta to cause abortion or fetal abnormalities. Drawing on serological surveys showing that 39% of UK cows became infected during their first three pregnancies, UK researchers concluded that one in sixteen fetuses were at risk. At a time when dairy herd profitability hinged on regular calf production, these findings reframed BVD as a major reproductive disease.",71,Animal Health and Veterinary Medicine,1,R058,N/A,Herd of Cows,Theo Leconte,Photo by Theo Leconte on Unsplash,https://unsplash.com/photos/ktkVUTzVMm8,,,,,,"Done, J. T., S. Terlecki, C. Richardson, J. W. Harkness, J. J. Sands, D. S. Patterson, and others, ‘Bovine Virus Diarrhoea-Mucosal Disease Virus: Pathogenicity for the Fetal Calf Following Maternal Infection’, Veterinary Record, 106 (1980), 473–79 ",1946 First reported outbreak of BVD; 1947 BVD research begins; 1956 BVD misdiagnosed as rinderpest; 1960 Breakthrough in laboratory diagnosis shows BVD and MD caused by same virus; 1960 BVD virus shown to resemble swine fever; 1965 BVD vaccines adopted for use in US feedlots; 1967 Discovery that BVD could infect calves in the womb; 1972 Close relationship demonstrated between BVD and Border Disease in sheep; 1977 Breakthrough in sheep sets the scene for new understandings of BVD; 1986 New ideas about BVD control; 1995 Safe BVD vaccines licenced in the UK,F007; F012; F030; F035; F036; F041; F043; F050; F054; F063; F069; F083
AW,F059,FALSE,058,059,1982,Centenary of Young Farmers' Clubs ,"National Federation of Young Farmers' Clubs offered a network, events and training for young people in rural areas, though membership has been relatively limited at some periods due to cost, as the federation celebrated its Golden Jubilee, membership was at record level",42,Policy Events,3,R059,MERL LIBRARY--3330-NAT,"Fifty years young: National Federation of Young Farmers' Clubs (Kenilworth: National Federation of Young Farmers' Clubs, 1982).",N/A,"The Museum of English Rural Life, University of Reading.",N/A,,,,,,http://www.nfyfc.org.uk/Ourhistory/history ,,
AW,F060,FALSE,059,060,1983,Breakthrough in sheep leads to new understandings of Mucosal Disease ,"Working with apparently healthy lambs that were persistently infected with Border Disease, researchers at the Moredun Institute, Edinburgh, showed that inoculations with Border Disease virus caused illness. This suggested that tolerance acquired in the womb could be overridden. Shortly afterwards, researchers in the UK and USA published evidence to show that the same mechanism might cause fatal mucosal disease to develop in cows that were persistently infected with BVD.",69,Animal Health and Veterinary Medicine,1,R060,Moredunarielshot-H,Site of the Moredun Research Institute.,N/A,Image © Moredun Photo Library 2020,N/A,,,,,,"Gardiner, A. C., P. F. Nettleton, and R. M. Barlow, ‘Virology and Immunology of a Spontaneous and Experimental Mucosal Disease-like Syndrome in Sheep Recovered from Clinical Border Disease’, Journal of Comparative Pathology, 93 (1983), 463–69; Brownlie, J., MC Clarke, and CJ Howard, ‘Experimental Production of Fatal Mucosal Disease in Cattle’, Veterinary Record, 114.22 (1984), 535–36; Bolin, S. R., A. W. McClurkin, R. C. Cutlip, and M. F. Coria, ‘Severe Clinical Disease Induced in Cattle Persistently Infected with Noncytopathic Bovine Viral Diarrhea Virus by Superinfection with Cytopathic Bovine Viral Diarrhea Virus.’, American Journal of Veterinary Research, 46.3 (1985), 573–76 ",,
JB,F061,FALSE,060,061,1983,Further changes to agricultural research funding,"Following funding cuts, the Agricultural Research Council was reoriented and refashioned in 1983 into the Agriculture and Food Research Council. In 1994, the AFRC was itself transformed into the Biotechnology and Biological Sciences Research Council. These changes led to restructuring, mergers and closures of certain research institutions.  Agricultural research had proved a victim of its own success in increasing productivity.",60,Policy Events,3,R061,N/A,"Didley, United Kingdom",Stephen Radford,Photo by Stephen Radford on Unsplash,https://unsplash.com/photos/NqaJAIO3u7w,,,,,,,,
JB,F062,FALSE,061,062,1984,Milk quotas introduced,Surpluses in milk production (that resulted from the success of the expansionist push for agricultural growth that had been in place in the UK from 1964) led to the introduction of quotas under the Common Agricultural Policy. These capped the amount of milk that farmers could produce each year without paying a levy.,53,Policy Events,3,R062,P 2FW PH2/1227/3,"A rotary milking parlour, 1981",Peter Allen,"The Museum of English Rural Life, University of Reading.",http://www.reading.ac.uk/adlib/merl_archives/110367410,,,,,,,1973 Britain joined the European Economic Community (EEC) ,F052
AW,F063,FALSE,062,063,1986,New ideas about BVD control,"New understandings of BVD explained earlier problems with live virus vaccines: the virus could cross the placenta to cause fetal losses, and induce Mucosal Disease in persistently infected cows. Control efforts refocussed on developing vaccines made from safer inactivated viruses. Other alternatives were to use PIs as ‘vaccinator’ cattle to induce immunity in herd mates prior to pregnancy, or attempt the costly eradication of infection from closed herds. Researchers saw no practical prospect of a UK-wide eradication scheme.",78,Animal Health and Veterinary Medicine,1,R063,P 2FW PH2/1172/1,A herd of cattle,Peter Adams,"The Museum of English Rural Life, University of Reading.",http://www.reading.ac.uk/adlib/merl_archives/110367109,,,,,,"Roeder, P. L., and J. W. Harkness, ‘BVD Virus Infection: Prospects for Control’, Veterinary Record, 119 (1986), 143–47",1946 First reported outbreak of BVD; 1947 BVD research begins; 1956 BVD misdiagnosed as rinderpest; 1960 Breakthrough in laboratory diagnosis shows BVD and MD caused by same virus; 1960 BVD virus shown to resemble swine fever; 1965 BVD vaccines adopted for use in US feedlots; 1967 Discovery that BVD could infect calves in the womb; 1972 Close relationship demonstrated between BVD and Border Disease in sheep; 1977 Breakthrough in sheep sets the scene for new understandings of BVD; 1980 BVD identified as ‘possibly the most important viral pathogen of the bovine fetus in Britain’; 1995 Safe BVD vaccines licenced in the UK,F007; F012; F030; F035; F036; F041; F043; F050; F054; F058; F069; F083
JB,F064,FALSE,063,064,1986,Agriculture Act,"Marking the rise of environmental agendas and a shift away from post-war production-focussed agriculture, the Act revised the remit of the Ministry of Agriculture, Fisheries and Food to develop a balance between an efficient agriculture, the social and economic needs of the countryside, conservation and enjoyment by the public. It also allowed the designation of areas as Environmentally Sensitive Areas.",60,Policy Events,3,R064,P FW PH2/W25/4,Cattle grazing among bracken in the Lake District. (1947) Under the 1986 Agriculture Act the Lake District was designated an Environmentally Sensitive Area,J. Hardman,"The Museum of English Rural Life, University of Reading.",http://www.reading.ac.uk/adlib/merl_archives/110007009,,,,,,http://www.legislation.gov.uk/ukpga/1986/49/contents,,
AW,F065,FALSE,064,065,1986,First diagnosed case of BSE,"The name Bovine Spongiform Encephalopathy was awarded to a new disease of unknown origin, characterised by neurological symptoms and distinctive holes in the brain tissue. Despite repeated government assurances that beef was safe for human consumption, BSE was linked to several human deaths in 1996, causing the European Union to ban British beef exports. The resulting controversy flagged the problems of one government department (MAFF) having responsibility for both farming and food safety.",73,Animal Health and Veterinary Medicine,3,R065,N/A,Cow with BSE (Mad Cow Disease),Dr. Art Davis,,https://commons.wikimedia.org/wiki/File:Aphis.usda.gov_BSE_3.jpg,,,,,,,,F072; F073; F081
AW,F066,FALSE,065,066,1987,Closure of the UK's major lameness research programme,"In 1987, government cuts led to the closure of a major lameness research programme based at the Institute for Animal Health, Compton. Recognising that lameness was the dairy industry's number one welfare problem, this programme had conducted extensive investigations into the effects of weather, season, herd size, management system, veterinary practice,  weather, herd size, age, and lactation on dairy cow lameness, and its association with fertility.  ",66,Animal Health and Veterinary Medicine,1,R066,N/A,N/A,Michael Longmire,Photo by Michael Longmire on Unsplash,https://unsplash.com/photos/L9EV3OogLh0,,,,,,,,
JB,F067,FALSE,066,067,1988,EEC 'Set Aside' Scheme  (Regulation (EEC) 1272/88) Introduced,"To address the surpluses of agricultural products (cereals, sugar, olive oil, wine, beef, milk and milk products) in excess of demand that was generated by the Common Agricultural Policy, and the environmental damage caused by the agriculture of the 1960s-80s, the EEC introduced a 'set aside' scheme. This incentivised farmers to take a proportion of their land out of intensive production, i.e. to 'set aside' a portion of their land from production.",72,Policy Events,3,R067,P 2FW PH2/1203/3,Tethered sows,B. Tyrer,"The Museum of English Rural Life, University of Reading.",http://www.reading.ac.uk/adlib/merl_archives/110367218,,,,,,,1973 Britain joined the European Economic Community (EEC) ,F052
KS,F068,FALSE,067,068,1993,Agriculture Act ,"As a result of the Agriculture Act (1993) Dairy Crest, the processing arm of the Milk Marketing Board, was floated on the stock market. Dairy farmers were given shares, plus the option to join a voluntary co-operative. The doorstep delivery had already been partly sold off by this time, but it was still selling big-name spreads like Clover, and managing Cheddar, Stilton, and Red Leicester cheese production. The Milk Marketing Boards were dissolved in 2002-03, but Dairy Crest continues.",79,Production Practices,2,R068,P PAD B PH2/202,MMB Team arrive for Ministry talks,Peter Adams,"The Museum of English Rural Life, University of Reading.",http://www.reading.ac.uk/adlib/merl_archives/110393790,,,,,,https://api.parliament.uk/historic-hansard/acts/agriculture-act-1993 ,,
AW,F069,FALSE,068,069,1995,Safe BVD vaccines licenced in the UK,"In the 1990s, researchers at the Institute for Animal Health, Compton, developed an inactivated BVD vaccine that they showed to provide effective protection against the respiratory transmission of BVD to calves, and also against its transplacental spread to fetuses. This vaccine was develpoed commercially as the first UK-licenced BVD vaccine: Bovidec",51,Animal Health and Veterinary Medicine,1,R069,,,,,,,,,,,"Brownlie, J., M. C. Clarke, L. B. Hooper, and G. D. Bell, ‘Protection of the Bovine Fetus from Bovine Viral Diarrhoea Virus by Means of a New Inactivated Vaccine.’, The Veterinary Record, 137.3 (1995), 58–62. https://doi.org/10.1136/vr.137.3.58",1946 First reported outbreak of BVD; 1947 BVD research begins; 1956 BVD misdiagnosed as rinderpest; 1960 Breakthrough in laboratory diagnosis shows BVD and MD caused by same virus; 1960 BVD virus shown to resemble swine fever; 1965 BVD vaccines adopted for use in US feedlots; 1967 Discovery that BVD could infect calves in the womb; 1972 Close relationship demonstrated between BVD and Border Disease in sheep; 1977 Breakthrough in sheep sets the scene for new understandings of BVD; 1980 BVD identified as ‘possibly the most important viral pathogen of the bovine fetus in Britain’; 1986 New ideas about BVD control,F007; F012; F030; F035; F036; F041; F043; F050; F054; F058; F063; F083
